Exp,Res,Time(s),RMSE_Train,RMSERare_Train,Utility_Train,Benefit_Train,Cost_Train,CaseWeight_Train,Precision_Train,Recall_Train,FScore_Train,RMSE_Test,RMSERare_Test,Utility_Test,Benefit_Test,Cost_Test,CaseWeight_Test,Precision_Test,Recall_Test,FScore_Test
1,no_resample,4.6442179679870605,[0.08574409 0.11431847 0.12732327 0.13302806 0.14115798],[0.24520283 0.34528553 0.33587203 0.33167117 0.32684803],[0.12004237 0.11326632 0.11106139 0.11012757 0.10919758],[0.13874309 0.13361465 0.13356723 0.13366973 0.13434651],[0.01870072 0.02034833 0.02250584 0.02354215 0.02514894],[0.0168486  0.03190945 0.03007617 0.02923295 0.0285411 ],[0.95244983 0.00178412],[0.9039897  0.00378788],[0.00199521 0.         0.         0.         0.        ],[0.09501059 0.12422466 0.13572632 0.14042994 0.14742222],[0.26416248 0.36108167 0.36042311 0.35956718 0.36049063],[0.14846609 0.1390585  0.13513219 0.13414328 0.13404321],[0.1721722  0.16490418 0.16332662 0.1630001  0.16391675],[0.02370611 0.02584568 0.02819443 0.02885682 0.02987355],[0.02072934 0.0383672  0.03795379 0.03753546 0.0364286 ],[0.92917369 0.        ],[0.90216946 0.        ],[0. 0. 0. 0. 0.]
2,no_resample,2.4854753017425537,[0.07815768 0.10921177 0.12438027 0.13102022 0.1355587 ],[0.16537974 0.25165541 0.25044976 0.27534748 0.31424936],[0.12791628 0.11682889 0.11342472 0.11045077 0.10887751],[0.1448389  0.13961561 0.13865399 0.13661305 0.13433301],[0.01692263 0.02278673 0.02522928 0.02616228 0.0254555 ],[0.01134216 0.01811337 0.02441249 0.02720351 0.02881796],[0.96449864 0.1212938 ],[0.91608752 0.25568182],[0.13554217 0.         0.         0.         0.        ],[0.08023854 0.10722245 0.11999007 0.13064878 0.14101782],[0.19576741 0.27527296 0.28586912 0.31019998 0.34957256],[0.15841961 0.14759109 0.14405079 0.13890447 0.13471479],[0.17940685 0.1732458  0.17158843 0.16812868 0.16442543],[0.02098723 0.02565472 0.02753764 0.02922421 0.02971064],[0.01299924 0.0208594  0.02729764 0.03183596 0.03592526],[0.94794111 0.17196262],[0.90933279 0.27380952],[0.18578352 0.         0.         0.         0.        ]
3,no_resample,2.201303005218506,[0.0777095  0.11048902 0.12997951 0.13823203 0.13352064],[0.13898115 0.18606232 0.19924084 0.22621182 0.27098198],[0.12879097 0.11857599 0.11341728 0.10970608 0.11019899],[0.14627114 0.14303506 0.14155377 0.13923214 0.13654785],[0.01748016 0.02445907 0.02813649 0.02952606 0.02634886],[0.01192523 0.01615804 0.02407106 0.0274612  0.02672952],[0.97605581 0.17396825],[0.88837409 0.51893939],[0.20064441 0.         0.         0.         0.        ],[0.07594653 0.10310166 0.11851902 0.13005919 0.13435237],[0.16468584 0.2086048  0.23336994 0.26403443 0.30731301],[0.16263398 0.1517508  0.14780091 0.14099607 0.13806103],[0.18257071 0.17807213 0.17620261 0.17187687 0.16773269],[0.01993673 0.02632133 0.0284017  0.0308808  0.02967166],[0.0115914  0.01599624 0.02315051 0.02803769 0.03162163],[0.95464505 0.19604863],[0.89173148 0.38392857],[0.21731806 0.         0.         0.01453488 0.        ]
1,SMOTER_bin,5.795876979827881,[0.20810275 0.18894755 0.15588965 0.14103448 0.12696704],[0.08033383 0.14485082 0.24762843 0.27684724 0.30819894],[0.41819921 0.34051783 0.21981886 0.15035051 0.11773712],[0.49368236 0.40530954 0.26286786 0.18293901 0.14131602],[0.07548314 0.06479172 0.04304901 0.03258851 0.0235789 ],[0.02679774 0.0251515  0.02229376 0.02266356 0.02341198],[0.96130774 0.84639711],[0.82496782 0.96671827],[0.86800408 0.21003501 0.         0.         0.        ],[0.26712861 0.23424708 0.18344513 0.1612278  0.14961149],[0.08918651 0.1867364  0.27593353 0.31695001 0.35597006],[0.07083412 0.09767249 0.12692846 0.13363893 0.13450617],[0.17133181 0.17364809 0.17295804 0.16927595 0.16473834],[0.10049769 0.0759756  0.04602958 0.03563702 0.03023217],[0.05893688 0.0457844  0.03171274 0.03059606 0.03545079],[0.99267492 0.24307205],[0.80433893 0.91369048],[0.28489235 0.         0.         0.         0.        ]
2,SMOTER_bin,4.0825419425964355,[0.14822017 0.15536989 0.13250312 0.12624741 0.12394177],[0.07865328 0.14731486 0.25147791 0.28396272 0.30225225],[0.4405393  0.35280709 0.22791969 0.15421883 0.1182517 ],[0.49420094 0.40530687 0.26331674 0.18250879 0.14142851],[0.05366164 0.05249978 0.03539705 0.02828995 0.02317681],[0.0163892  0.01927078 0.01954065 0.02195249 0.02349018],[0.88604841 0.84647405],[0.83861004 0.89189886],[0.85518504 0.25731383 0.         0.         0.        ],[0.18824849 0.18821118 0.15211076 0.1431201  0.14605675],[0.08134707 0.20749901 0.29235395 0.32984234 0.35060378],[0.11165825 0.11719649 0.13536904 0.13667743 0.13507014],[0.17387191 0.17299615 0.1714567  0.16744165 0.16505191],[0.06221366 0.05579966 0.03608765 0.03076422 0.02998176],[0.03909796 0.0349713  0.0285562  0.03110636 0.03491103],[0.98803291 0.23781998],[0.81109292 0.85714286],[0.27799228 0.         0.         0.         0.        ]
3,SMOTER_bin,4.12640905380249,[0.16800287 0.1680785  0.13591947 0.12730323 0.12488196],[0.07103217 0.13292819 0.23621666 0.26813553 0.29157791],[0.43804446 0.35058425 0.22674722 0.15404018 0.11778993],[0.49682335 0.40749905 0.26420426 0.18341979 0.14188879],[0.05877889 0.0569148  0.03745703 0.02937961 0.02409886],[0.01921595 0.02095668 0.01927257 0.02126958 0.02307021],[0.99188575 0.82286325],[0.78661519 0.99355005],[0.85214197 0.46869312 0.         0.         0.        ],[0.21948307 0.2074718  0.15623626 0.14273039 0.1457107 ],[0.07625625 0.16809286 0.26567459 0.30614683 0.34077594],[0.09296823 0.10796377 0.13486361 0.13821413 0.13526942],[0.17115279 0.17360152 0.1732809  0.16957495 0.16585329],[0.07818456 0.06563775 0.03841729 0.03136082 0.03058387],[0.04891683 0.0397873  0.02790134 0.02912917 0.03418521],[0.99667866 0.20136731],[0.73700368 0.96428571],[0.23922032 0.05747126 0.         0.         0.        ]
1,SMOTER_regular,5.5519020557403564,[0.22998889 0.18306155 0.13391816 0.1199595  0.10974083],[0.05139766 0.15585885 0.32283937 0.36715395 0.36855163],[0.41576698 0.25779572 0.14955284 0.11450908 0.11242664],[0.49948288 0.31435087 0.17669946 0.1336403  0.12858866],[0.0837159  0.05655516 0.02714662 0.01913122 0.01616203],[0.03217508 0.02969905 0.02731755 0.03132409 0.02852762],[0.99884393 0.75014493],[0.66718147 0.9992278 ],[0.7895058  0.29974877 0.00302663 0.         0.        ],[0.30212707 0.24322005 0.18280124 0.16550373 0.15184894],[0.05945126 0.24563645 0.38118165 0.41989038 0.41058471],[0.04053682 0.08749191 0.1171509  0.12356757 0.12786143],[0.16676839 0.168963   0.16024683 0.15558541 0.15627605],[0.12623157 0.08147109 0.04309594 0.03201784 0.02841462],[0.07792355 0.05999759 0.0480953  0.05334647 0.05298035],[0.99936082 0.15957955],[0.63999181 0.99404762],[0.19177768 0.03881988 0.         0.         0.        ]
2,SMOTER_regular,4.173631906509399,[0.14885908 0.16609958 0.1265918  0.11184345 0.10661029],[0.04875673 0.15772585 0.30444108 0.3380003  0.35450364],[0.45716656 0.26736409 0.15338575 0.11733818 0.11350965],[0.50462302 0.31608679 0.17854643 0.13555617 0.1294699 ],[0.04745647 0.0487227  0.02516068 0.01821799 0.01596025],[0.01538135 0.0282093  0.02672552 0.02846838 0.02678813],[0.99773585 0.82892768],[0.79399399 0.9981982 ],[0.85802788 0.36567121 0.05597015 0.         0.        ],[0.19577205 0.22292087 0.17527402 0.15603192 0.14888162],[0.0520717  0.24730157 0.35808261 0.38871894 0.40113268],[0.10531645 0.09543579 0.1203652  0.12731914 0.12906088],[0.17231999 0.16848003 0.16248756 0.15889462 0.1573658 ],[0.06700353 0.07304423 0.04212236 0.03157547 0.02830492],[0.04423515 0.06065127 0.04794319 0.04820277 0.0508007 ],[0.99865047 0.2181938 ],[0.75726566 0.98511905],[0.25843223 0.11822959 0.         0.         0.        ]
3,SMOTER_regular,4.39843225479126,[0.1236708  0.14724553 0.11466134 0.10952285 0.10510209],[0.04740272 0.12732393 0.26286004 0.31169732 0.32331075],[0.46286666 0.27744222 0.15729002 0.11851714 0.11547482],[0.50443817 0.3196943  0.18120984 0.13697529 0.13167639],[0.04157151 0.04225207 0.02391983 0.01845815 0.01620158],[0.01201309 0.02292338 0.02327679 0.02757019 0.0234369 ],[0.99788807 0.84067919],[0.81081081 0.998284  ],[0.86808923 0.53038569 0.17313433 0.00271003 0.        ],[0.16088221 0.18970255 0.15771349 0.1568098  0.14658747],[0.05189236 0.18361358 0.31711888 0.37452826 0.36692104],[0.12048452 0.11335176 0.12712806 0.12609097 0.13227265],[0.17411479 0.17264576 0.16669083 0.15985244 0.16158866],[0.05363027 0.059294   0.03956278 0.03376147 0.02931601],[0.03679973 0.04808292 0.04026039 0.04741093 0.04230172],[0.9986762  0.22906574],[0.77200164 0.98511905],[0.2706017  0.19656309 0.01984127 0.         0.        ]
1,no_resample,21.950706005096436,[0.05104688 0.09339075 0.11509943 0.11597739 0.11159192],[0.09688539 0.13889269 0.17539148 0.19556024 0.18382051],[0.13940388 0.12583294 0.12076628 0.12081976 0.12488892],[0.15006014 0.14568653 0.14439366 0.14360171 0.14480458],[0.01065626 0.01985359 0.02362738 0.02278196 0.01991565],[0.00677745 0.01626148 0.0220034  0.01958393 0.01724293],[0.98651353 0.54057971],[0.97280137 0.70643939],[0.56721411 0.62296417 0.3925     0.04528986 0.52588997],[0.0474425  0.08613303 0.10810583 0.10807004 0.10450712],[0.09478631 0.14936954 0.21586284 0.22211551 0.19315703],[0.17893731 0.1640741  0.15368622 0.15369622 0.15839704],[0.18978281 0.18364134 0.17860063 0.17788145 0.17992017],[0.0108455  0.01956724 0.0249144  0.02418523 0.02152313],[0.00508904 0.01394659 0.02232437 0.02007489 0.017161  ],[0.97711483 0.68292683],[0.9787147  0.66666667],[0.67961165 0.64338235 0.24147727 0.04310345 0.61619718]
